source,target
1,5
1,4
1,7
1,21
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,37
1,38
1,39
1,40
1,42
1,45
0,3
0,7
0,8
0,11
0,10
0,12
0,15
0,16
0,18
0,20
0,19
0,21
0,24
0,23
0,30
0,31
0,37
0,40
0,41
0,43
0,44
3,4
3,9
3,21
3,24
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,44
3,45
2,23
2,32
2,38
2,39
2,40
2,44
5,2
5,4
5,6
5,21
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,37
5,38
5,40
5,41
5,42
5,43
5,44
4,3
4,5
4,11
4,16
4,24
4,23
4,31
4,33
4,34
4,37
7,6
7,8
7,12
7,15
7,19
7,21
7,23
7,25
7,26
7,30
7,31
7,32
7,34
7,35
7,37
7,38
7,40
7,41
7,44
7,45
6,2
6,8
6,16
6,23
6,27
6,28
6,31
6,37
6,40
9,6
9,15
9,23
9,26
9,27
9,28
9,30
9,31
9,32
9,33
9,34
9,37
9,40
8,23
8,32
11,8
11,21
11,28
11,29
11,30
11,31
11,32
11,34
11,40
10,2
10,16
10,21
10,25
10,26
10,27
10,29
10,30
10,31
10,33
10,34
10,41
13,6
13,27
13,32
12,6
12,28
12,32
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,37
15,38
15,40
15,41
15,45
14,9
14,21
14,25
14,26
14,27
14,28
14,31
14,33
14,34
14,41
17,4
17,6
17,26
17,27
17,28
17,30
17,31
17,32
17,33
17,34
17,35
17,37
17,39
17,40
17,41
17,44
16,0
16,3
16,2
16,4
16,7
16,6
16,9
16,8
16,11
16,10
16,15
16,18
16,20
16,21
16,24
16,23
16,26
16,28
16,29
16,30
16,31
16,32
16,33
16,34
16,37
16,38
16,40
16,41
16,44
18,2
18,7
18,6
18,9
18,12
18,15
18,21
18,24
18,25
18,26
18,27
18,28
18,29
18,30
18,31
18,32
18,33
18,34
18,35
18,37
18,38
18,39
18,40
18,41
18,43
18,45
20,8
20,23
20,29
20,34
20,37
19,2
19,18
19,24
19,34
19,41
21,7
21,6
21,8
21,19
21,24
21,23
21,28
21,31
21,32
21,34
21,37
21,38
21,39
21,40
21,44
22,31
22,32
24,34
23,6
23,25
23,28
23,31
23,32
23,33
23,35
23,37
23,40
23,44
23,45
25,33
26,1
26,0
26,2
26,9
26,10
26,15
26,17
26,16
26,19
26,24
26,23
26,25
26,28
26,29
26,33
26,34
27,26
27,31
27,32
27,33
27,40
27,41
27,44
28,15
28,31
28,41
29,24
29,41
30,1
30,10
30,16
30,24
30,23
30,25
30,26
30,27
30,31
30,33
30,41
31,1
31,0
31,2
31,6
31,8
31,10
31,15
31,16
31,19
31,24
31,23
31,27
31,28
31,33
31,34
31,39
31,40
32,19
32,27
32,41
33,8
33,10
33,26
33,30
33,31
33,32
33,34
33,35
33,37
33,39
33,41
33,42
33,43
33,44
34,6
34,15
34,16
34,19
34,24
34,23
34,26
34,27
34,28
34,30
34,31
34,32
34,33
34,35
34,37
34,40
34,41
34,42
34,44
34,45
35,15
35,16
35,19
35,24
35,27
35,33
35,34
35,40
37,0
37,15
37,16
37,19
37,23
37,27
37,40
38,41
39,19
39,23
40,1
40,16
40,18
40,24
40,23
40,26
40,30
40,31
40,34
40,37
40,38
40,41
41,10
42,16
42,26
42,27
42,31
42,33
42,41
43,9
43,31
44,1
44,0
44,3
44,6
44,9
44,10
44,16
44,18
44,19
44,24
44,23
44,31
44,33
44,34
45,16
45,19
45,21
45,25
45,27
45,33
45,34
45,39
45,40
45,42
